Time (s),Roll (deg.),Pitch (deg.),Yaw (deg.),Altitude (m),Pressure (Pa),Temeprature (C)
1697042340.7324727,357.9375,-0.6875,0.0,32.34097411394466,1009.480890936121,37.415820316877216
1697042371.3553112,358.0,-8.875,235.625,32.59295474313473,1009.4711307951511,37.411405228078365
1697042371.4344609,358.0,-0.875,355.625,31.579875092936557,1009.430264846325,37.42465048050508
1697042371.4975934,358.0,-0.875,355.625,31.243913236752608,1009.5617109943759,37.43789569102228
1697042371.5574133,358.0,-0.875,355.625,32.59817667382959,1009.490646852803,37.44672580808401
1697042371.6160157,358.0,-0.875,355.625,31.414487939585623,1009.3079496076377,37.459970948752016
1697042371.6744375,358.0,-0.875,355.625,32.007635702791596,1009.520837571905,37.45114085962996
1697042371.7332578,358.0,-0.875,243.625,32.007635702791596,1009.3890792737984,37.459970948752016
1697042371.7919872,358.0,-0.875,355.625,31.669063329458087,1009.4903354083301,37.459970948752016
1697042371.8507721,358.0,-0.875,355.625,31.669063329458087,1009.4092041180851,37.459970948752016
1697042371.9096847,358.0,-0.875,355.625,31.24651631014696,1009.3991417064667,37.464385986328125
1697042371.9684167,358.0,-0.875,355.625,31.417110870005295,1009.4698952530308,37.464385986328125
1697042372.0269747,358.0,-0.875,355.625,31.24651631014696,1009.3887625362192,37.459970948752016
1697042372.0857863,358.0,-0.875,355.625,30.656012853259885,1009.4092041180851,37.459970948752016
1697042372.1447291,358.0,-0.875,355.625,31.755684386788648,1009.500398545101,37.459970948752016
1697042372.203727,358.0,-0.875,355.625,32.17825118355304,1009.4598325104162,37.464385986328125
1697042372.2624204,358.0,-0.875,355.625,32.09426864630119,1009.4903354083301,37.473216047510505
1697042372.3213077,358.0,-0.875,355.625,31.755684386788648,1009.4698952530308,37.46880101924762
1697042372.3799567,358.0,-0.875,355.625,32.262234574404076,1009.4799579745901,37.46880101924762
1697042372.443017,358.0,-0.875,355.625,31.755684386788648,1009.4293288781654,37.46880101924762
1697042372.501675,358.0,-0.875,355.625,32.007635702791596,1009.3887625362192,37.46880101924762
1697042372.5603049,358.0,-0.875,355.625,31.333128424067496,1009.4698952530308,37.473216047510505
1697042372.618916,358.0,-0.875,355.625,30.656012853259885,1009.3887625362192,37.46880101924762
1697042372.6773272,358.0,-0.875,355.625,31.333128424067496,1009.4698952530308,37.473216047510505
1697042372.7361479,358.0,-0.875,355.625,32.01028696263869,1009.4698952530308,37.473216047510505
1697042372.7950463,358.0,-0.875,355.625,32.01028696263869,1009.4799579745901,37.46880101924762
1697042372.853916,358.0,-0.875,355.625,30.99456526808616,1009.4698952530308,37.473216047510505
1697042372.9121122,358.0,-0.875,355.625,31.333128424067496,1009.4598325104162,37.477631071116775
1697042372.970939,358.0,-0.875,355.625,31.333128424067496,1009.4293288781654,37.477631071116775
1697042373.0295918,358.0,-0.875,355.625,31.16516609298453,1009.4393912266253,37.477631071116775
1697042373.0883327,358.0,-0.875,355.625,31.333128424067496,1009.4393912266253,37.473216047510505
1697042373.1473377,358.0,-0.875,355.625,31.333128424067496,1009.4900206750921,37.48204609006643
1697042373.20649,358.0,-0.875,355.625,31.333128424067496,1009.4088864658859,37.48646110435948
1697042373.2648656,358.0,-0.875,355.625,32.01028696263869,1009.4695781456619,37.477631071116775
1697042373.323652,358.0,-0.875,355.625,31.926306132565532,1009.4088864658859,37.477631071116775
1697042373.382515,358.0,-0.875,355.625,32.01028696263869,1009.4799579745901,37.477631071116775
1697042373.4447553,358.0,-0.875,355.625,31.16516609298453,1009.4900206750921,37.48646110435948
1697042373.5033953,358.0,-0.875,355.625,31.842326156081725,1009.3582578294528,37.477631071116775
1697042373.5619564,358.0,-0.875,355.625,31.926306132565532,1009.4695781456619,37.48646110435948
1697042373.620713,358.0,-0.875,355.625,32.348882346807585,1009.4695781456619,37.48646110435948
1697042373.6790242,358.0,-0.875,355.625,31.503740753168533,1009.3683194106615,37.48646110435948
1697042373.7382624,358.0,-0.875,355.625,31.419761249138883,1009.4290103113268,37.48646110435948
1697042373.7970514,358.0,-0.875,355.625,31.503740753168533,1009.4189483991355,37.477631071116775
1697042373.855799,358.0,-0.875,355.625,31.674368763847717,1009.4088864658859,37.477631071116775
1697042373.914499,358.0,-0.875,355.625,31.503740753168533,1009.4595158603751,37.48646110435948
1697042373.9729068,358.0,-0.875,355.625,31.842326156081725,1009.4900206750921,37.477631071116775
1697042374.0315242,358.0,-0.875,355.625,31.842326156081725,1009.4695781456619,37.49087611399591
1697042374.09016,358.0,-0.875,355.625,31.674368763847717,1009.5507139130967,37.48646110435948
1697042374.14902,358.0,-0.875,355.625,31.842326156081725,1009.4290103113268,37.477631071116775
1697042374.207776,358.0,-0.875,355.625,31.758347033177426,1009.4695781456619,37.48204609006643
1697042374.2665384,358.0,-0.875,355.625,31.842326156081725,1009.4290103113268,37.477631071116775
1697042374.3249516,358.0,-0.875,355.625,31.503740753168533,1009.4290103113268,37.49529111897573
1697042374.3834233,358.0,-0.875,355.625,31.758347033177426,1009.4189483991355,37.477631071116775
1697042374.4456313,358.0,-0.875,355.625,31.842326156081725,1009.3884425099114,37.48204609006643
1697042374.5044909,358.0,-0.875,355.625,32.43555083261984,1009.5101460129179,37.49529111897573
1697042374.5634897,358.0,-0.875,355.625,31.842326156081725,1009.4189483991355,37.49529111897573
1697042374.6221888,358.0,-0.875,355.625,32.51952919326852,1009.4491340725309,37.48646110435948
1697042374.6805916,358.0,-0.875,355.625,31.674368763847717,1009.5302712664972,37.49087611399591
1697042374.7394133,358.0,-0.875,355.625,31.16516609298453,1009.5101460129179,37.49087611399591
1697042374.7984889,358.0,-0.875,355.625,31.59039134809752,1009.5302712664972,37.49529111897573
1697042374.8572214,358.0,-0.875,355.625,32.012965672537696,1009.4491340725309,37.49087611399591
1697042374.915508,358.0,-0.875,355.625,31.59039134809752,1009.5302712664972,37.49529111897573
1697042374.9742482,358.0,-0.875,355.625,31.16782785853683,1009.4290103113268,37.49087611399591
1697042375.0326948,358.0,-0.875,355.625,31.50641478591699,1009.4491340725309,37.48646110435948
1697042375.0911732,358.0,-0.875,355.625,32.267596672016744,1009.4591959215398,37.50412111496553
1697042375.1501422,358.0,-0.875,355.625,31.928988637903014,1009.4491340725309,37.49529111897573
