Time,Ax,Ay,Az,Roll,Pitch,Yaw
1682604280.942331,-0.46,0.036,0.895,0.031,0.054,-0.011
1682604281.0514808,-0.463,0.03,0.886,0.047,0.074,-0.004
1682604281.1615593,-0.462,0.034,0.894,0.062,0.077,-0.003
1682604281.2716355,-0.46,0.032,0.901,0.082,0.098,-0.024
1682604281.3812504,-0.461,0.033,0.897,0.092,0.106,0.375
1682604281.4902573,-0.464,0.032,0.892,0.123,0.121,0.377
1682604281.6003292,-0.465,0.029,0.895,0.143,0.122,0.781
1682604281.7093372,-0.463,0.026,0.884,0.128,0.159,0.775
1682604281.8193986,-0.469,0.032,0.895,0.121,0.147,0.764
1682604281.9294713,-0.461,0.027,0.891,0.131,0.134,0.751
1682604282.039556,-0.466,0.033,0.885,0.144,0.151,0.752
1682604282.1478975,-0.462,0.032,0.896,0.141,0.157,0.752
1682604282.2569342,-0.461,0.036,0.9,0.129,0.129,0.748
1682604282.365165,-0.468,0.032,0.897,0.124,0.143,0.744
1682604282.4733074,-0.464,0.027,0.899,0.122,0.145,0.729
1682604282.583444,-0.467,0.027,0.899,0.113,0.151,0.727
1682604282.6935256,-0.465,0.031,0.893,0.106,0.169,0.731
1682604282.80361,-0.457,0.032,0.889,0.106,0.165,0.715
1682604282.9137094,-0.462,0.028,0.904,0.116,0.175,0.698
1682604283.0237901,-0.466,0.031,0.885,0.117,0.158,0.702
1682604283.1338894,-0.468,0.033,0.901,0.137,0.171,0.72
1682604283.2439742,-0.467,0.029,0.897,0.137,0.157,0.712
1682604283.3540583,-0.468,0.029,0.9,0.13,0.184,0.703
1682604283.4641497,-0.456,0.032,0.891,0.126,0.189,0.722
1682604283.5742357,-0.469,0.029,0.896,0.133,0.214,0.722
1682604283.6843488,-0.462,0.033,0.887,0.124,0.21,0.713
1682604283.794433,-0.465,0.028,0.895,0.141,0.233,0.705
1682604283.9045203,-0.466,0.03,0.896,0.122,0.211,0.706
1682604284.0146186,-0.464,0.031,0.891,0.134,0.224,0.703
1682604284.1246974,-0.467,0.032,0.886,0.123,0.222,0.689
1682604284.2348006,-0.467,0.029,0.891,0.131,0.235,0.679
1682604284.3448935,-0.466,0.029,0.899,0.124,0.265,0.681
1682604284.455004,-0.47,0.034,0.902,0.144,0.267,0.672
1682604284.5651045,-0.466,0.035,0.9,0.151,0.291,0.651
1682604284.6752093,-0.462,0.035,0.896,0.151,0.291,0.643
1682604284.7866783,-0.467,0.032,0.884,0.159,0.318,0.644
1682604284.8967855,-0.457,0.03,0.898,0.162,0.316,0.636
1682604285.0068994,-0.463,0.029,0.895,0.187,0.312,0.616
1682604285.1169767,-0.461,0.031,0.88,0.197,0.284,0.619
1682604285.2270713,-0.468,0.033,0.896,0.193,0.29,0.618
1682604285.3371532,-0.461,0.032,0.898,0.188,0.261,0.647
1682604285.4472294,-0.465,0.035,0.891,0.198,0.251,0.648
1682604285.557294,-0.465,0.028,0.886,0.206,0.217,0.657
1682604285.6673381,-0.461,0.03,0.896,0.213,0.247,0.642
1682604285.777381,-0.464,0.03,0.895,0.207,0.253,0.629
1682604285.8874252,-0.466,0.037,0.898,0.202,0.286,0.645
