Time,Ax,Ay,Az,Roll,Pitch,Yaw
1682604285.997488,-0.463,0.031,0.897,0.19,0.269,0.639
1682604286.107527,-0.469,0.024,0.9,0.188,0.296,0.626
1682604286.2175682,-0.467,0.025,0.889,0.196,0.275,0.627
1682604286.3276455,-0.468,0.03,0.903,0.204,0.307,0.619
1682604286.437684,-0.463,0.031,0.902,0.213,0.293,0.615
1682604286.5478039,-0.463,0.031,0.906,0.224,0.305,0.62
1682604286.6578624,-0.465,0.03,0.9,0.241,0.298,0.616
1682604286.767945,-0.466,0.029,0.892,0.239,0.316,0.61
1682604286.8780262,-0.458,0.031,0.89,0.237,0.325,0.614
1682604286.9881287,-0.459,0.029,0.894,0.233,0.323,0.609
1682604287.0982106,-0.467,0.033,0.888,0.225,0.31,0.595
1682604287.2083213,-0.465,0.028,0.89,0.223,0.303,0.601
1682604287.3183782,-0.461,0.031,0.894,0.228,0.301,0.588
1682604287.4284136,-0.463,0.032,0.907,0.239,0.324,0.587
1682604287.5384958,-0.467,0.03,0.896,0.256,0.3,0.574
1682604287.6485283,-0.465,0.031,0.888,0.265,0.308,0.586
1682604287.7585578,-0.466,0.028,0.9,0.279,0.308,0.579
1682604287.8685818,-0.463,0.024,0.897,0.282,0.323,0.588
1682604287.9786093,-0.46,0.027,0.895,0.277,0.344,0.582
1682604288.0886521,-0.469,0.031,0.888,0.283,0.354,0.596
1682604288.1986864,-0.463,0.028,0.895,0.286,0.382,0.591
1682604288.308771,-0.464,0.032,0.903,0.281,0.382,0.587
1682604288.4188216,-0.469,0.031,0.892,0.284,0.383,0.581
1682604288.5288672,-0.464,0.028,0.905,0.304,0.361,0.576
1682604288.638906,-0.464,0.03,0.889,0.305,0.374,0.575
1682604288.748949,-0.468,0.025,0.898,0.319,0.365,0.581
1682604288.859003,-0.465,0.023,0.889,0.325,0.358,0.563
1682604288.969099,-0.47,0.029,0.9,0.327,0.358,0.584
1682604289.079133,-0.463,0.028,0.905,0.335,0.418,0.988
1682604289.1891937,-0.461,0.03,0.893,0.353,0.406,0.978
1682604289.2992337,-0.465,0.027,0.887,0.363,0.423,1.379
1682604289.4092731,-0.46,0.034,0.891,0.352,0.459,1.373
1682604289.5193062,-0.459,0.028,0.897,0.352,0.487,1.37
1682604289.6293437,-0.462,0.027,0.894,0.357,0.487,1.366
1682604289.7393785,-0.467,0.028,0.897,0.365,0.525,1.368
1682604289.8494148,-0.463,0.028,0.892,0.375,0.544,1.353
1682604289.9594395,-0.468,0.031,0.901,0.405,0.587,1.344
