values
42352.277
42352.594
42352.71
42354.484
42354.582
42354.65
42354.87
42355.113
42355.42
42355.793
42355.86
42356.156
42356.227
42357.453
42357.582
42359.324
42360.785
42362.293
42362.934
42364.31
42364.348
42364.656
42365.31
42365.637
42365.895
42365.992
42366.383
42366.484
42366.62
42366.895
42367.344
42367.367
42367.82
42368.113
42368.703
42371.953
42372.426
42372.723
42373.273
42373.555
42373.816
42374.195
42375.844
42376.83
42377.1
42380.734
42381.402
42382.633
42382.97
42384.23
42386.27
42386.457
42387.594
42388.324
42388.44
42389.07
42389.277
42389.48
42389.863
42390.35
42390.59
42390.99
42391.723
42393.8
42394.047
42395.21
42395.805
42396.395
42396.895
42397.79
42398.24
42398.574
42399.164
42399.336
42399.633
42399.95
42400.46
42402.25
42402.28
42402.773
42402.92
42403.29
42403.543
42403.93
42404.03
42404.48
42404.848
42405.293
42405.34
42405.418
42405.746
42405.92
42406.56
42406.645
42407.01
42407.062
42407.684
42408.152
42408.5
42408.582
42408.62
42408.832
42408.99
42410.984
42411.1
42411.168
42411.207
42412.008
42412.16
42412.188
42412.246
42412.535
42413.016
42413.67
42413.918
42414.08
42414.805
42415.055
42415.316
42415.83
42415.973
42417.914
42418.312
42418.516
42420.09
42420.34
42421.523
42421.78
42421.957
42422.01
42422.293
42422.92
42423.46
42423.535
42424.348
42425.344
42425.418
42425.492
42425.645
42426.926
42429.195
42429.4
42429.535
42429.695
42430.19
42431.02
42432.39
42432.848
42433.516
42433.66
42433.723
42433.965
42434.7
42434.867
42435.547
42436.176
42436.484
42437.04
42437.66
42438.242
42438.434
42438.508
42438.8
42438.88
42439.016
42439.793
42441.145
42441.438
42442.42
42443.973
42444.395
42444.97
42445.375
42445.496
42445.582
42446.633
42448.62
42449.125
42449.285
42451.926
42452.184
42452.277
42452.727
42453.254
42454.125
42454.21
42454.62
42454.816
42457.473
42457.496
42459.477
42460.105
42461.934
42462.074
42462.555
42462.82
42463.01
42463.29
42463.84
42464.438
42465.32
42465.9
42466.12
42466.438
42466.676
42467.06
42467.348
42467.43
42467.96
42468.04
42468.707
42469.215
42470.027
42470.176
42470.246
42470.258
42470.855
42471.082
42471.53
42471.81
42472.61
42474.016
42475.848
42475.945
42475.984
42476.793
42476.984
42477.562
42477.625
42477.723
42478.637
42478.754
42478.836
42480.508
42481.766
42482.703
42482.754
42482.848
42483.926
42484.16
42484.418
42484.51
42484.86
42485.637
42485.84
42486.914
42487.266
42488.31
42489.16
42489.36
42489.49
42489.656
42490.855
42491.29
42491.773
42491.824
42491.848
42493.47
42493.555
42495.055
42496.934
42497.008
42497.21
42498.465
42500.145
42500.484
42501.316
42501.633
42501.85
42502.05
42502.383
42502.418
42502.566
42502.977
42503.387
42503.82
42503.86
42504.19
42504.344
42504.508
42505.855
42507.71
42507.816
42508.715
42508.793
42509.098
42509.16
42510.203
42510.414
42510.94
42512.203
42512.43
42513.266
42513.406
42514.277
42514.465
42515.44
42516.08
42516.637
42517.336
42518.074
42518.785
42519.082
42519.5
42519.582
42520.195
42520.383
42520.63
42520.98
42521.723
42522.28
42522.535
42522.69
42523.598
42524.27
42525.04
42525.605
42525.91
42526.285
42526.46
42526.953
42527.38
42528.36
42529.117
42529.77
42530.055
42530.086
42530.16
42530.594
42530.78
42531.227
42532.203
42533.164
42533.734
42533.87
42534.12
42534.777
42534.973
42535.332
42535.348
42535.88
42537.27
42538.492
42539.066
42540.066
42540.086
42540.227
42540.348
42540.375
42541.176
42541.344
42541.43
42542.055
42542.297
42542.6
42544.95
42545.203
42545.277
42545.656
42546.51
42547.914
42548.426
42548.77
42548.973
42549.527
42549.656
42549.914
42550.453
42550.65
42551.715
42552.395
42552.95
42553.88
42556.812
42556.895
42556.973
42557.848
42558.215
42558.797
42559.305
42559.56
42560.414
42560.76
42560.836
42560.96
42561.2
42561.312
42561.33
42563.855
42564.59
42564.94
42564.973
42564.984
42565.094
42565.574
42565.598
42566.1
42567.926
42568.07
42568.18
42569.492
42570.04
42570.074
42570.21
42570.617
42571.094
42571.695
42573.42
42573.84
42574.22
42575.043
42576.438
42577.11
42577.22
42578.402
42578.723
42578.92
42579.156
42579.33
42579.49
42579.508
42580.027
42580.05
42582.055
42584.246
42585.04
42586.016
42586.668
42587.312
42587.37
42587.645
42588.324
42588.387
42588.65
42588.742
42589.332
42589.72
42590.273
42590.727
42591.207
42591.52
42592.367
42592.91
42593.016
42593.22
42593.4
42593.492
42594.613
42595.855
42596.496
42597.727
42597.957
42599.55
42599.637
42600.113
42601.86
42602.164
42602.516
42603.426
42603.59
42603.875
42604.055
42604.2
42604.48
42604.83
42605.16
42605.395
42606.664
42607.773
42607.79
42607.934
42608.117
42608.18
42608.31
42608.91
42610.008
42610.14
42611.293
42612.61
42612.7
42612.887
42615.24
42616.01
42617.215
42618.805
42618.938
42620.34
42620.84
42621.5
42622.49
42622.73
42624.414
42625.367
42625.555
42626.09
42626.383
42626.453
42626.844
42627.992
42628.367
